"","Kennziffer","Kreis","ZX_1","ZX_2","ZX_3","ZX_4","ZX_5","ZX_6","ZX_7","ZX_8","DI","SMR"
"1","461","Wesermarsch",0.552775140536955,0.867433390070985,-0.173988891372074,-0.660769120562092,0.0612454646141839,-1.12077585925917,0.404432909635331,0.10426009207899,0.0346131257431062,21.3430387993979
"2","360","Uelzen",-0.178012333393256,0.396105697332086,0.584817286858556,0.560370193515537,0.298412619870892,-0.0663874202348639,0.661487725081516,0.81467061310658,3.07146438213705,16.1735530061244
"3","153","Goslar",0.566828745804844,0.0318979347611175,1.06769394573259,0.235963853058629,0.461976175220346,-0.476427368744318,1.02136446670618,0.570103056687246,3.47940080922663,15.9926724482601
"4","151","Gifhorn",-0.740156544108804,-0.525125702112128,-0.898303879683129,0.212226803756904,-1.47625195567068,-0.417850233242967,-0.880841167595594,-1.28328645250417,-6.00958913116057,14.850438944705
"5","103","Wolfsburg, Stadt",-0.50827205718864,-1.31781318535482,-2.0020219571095,-4.9545375942519,-2.05690257716125,-1.06219872375782,-1.4463617615772,-2.08686556645341,-15.4349734228545,14.5262036573753
"6","354","Lüchow-Dannenberg",0.960329693305727,0.481801641466431,1.65404417436535,0.784553436920717,0.404728930848037,1.3980409672989,0.610076761992279,1.54005465799658,7.83363026419402,14.4756705337387
"7","257","Schaumburg",-0.0304494780804252,0.203289823029808,0.343378957421537,0.325637150420701,-0.0614272018979066,-0.71073591074972,0.610076761992279,-0.156944713076353,0.522825389059921,13.934369121438
"8","241","Region Hannover",0.630069969510343,-1.61774898982503,0.239905387662816,-1.15924715589832,0.118492708986493,-0.417850233242967,0.507254835813805,-1.1601708118577,-2.85929428885056,13.7072461882144
"9","157","Peine",-0.388816412411587,0.117593878895463,-0.622374360326535,0.312449900808632,-0.0205363130605431,-1.35508440126458,-0.109676721257039,-0.651071000535824,-2.71751542915201,13.4964909123628
"10","352","Cuxhaven",-0.255307162366644,0.696041501802294,0.239905387662816,0.805653036300028,-0.249525290549779,0.695115341282693,0.147378094189146,0.0393748220085551,2.11863573032911,13.1246845027764
"11","457","Leer",-0.107744307053813,0.696041501802294,1.44709703484791,0.924338282808653,1.44335750731707,1.8666580513097,0.0445561680106717,1.77796731492151,8.09227155396399,13.0219123270157
"12","403","Oldenburg (Oldenburg), Stadt",0.693311193215841,-2.38901248703414,1.51607941468705,-0.44186077700174,1.30432848527003,-0.359273097741616,-0.00685479507856509,-0.893974832081557,-0.577256895764688,12.5687540773637
"13","251","Diepholz",-0.915826609957412,0.438953669399258,-1.2087245889593,0.499708845300018,-1.2309066226465,-1.12077585925917,-0.572375389060172,-0.541265158878164,-4.65121171406144,12.4993055941337
"14","351","Celle",0.573855548438788,0.288985767164154,0.446852527180261,-0.14382893576897,0.601005197267382,0.988001018789445,0.712898688170753,-0.0471388714186922,3.42063093982312,12.3067284240675
"15","358","Heidekreis",0.060898956160851,0.78173744593664,-0.0705153216133502,0.228051503291387,0.437441641917928,0.167921121770538,0.198789057278383,0.410385468821559,2.21470987356394,12.2215112977088
"16","459","Osnabrück",-1.37256878116379,0.417529683365672,-1.69160124783333,0.383661048713807,-0.977383111854849,0.46080679927729,-1.08648501995254,0.250667880955871,-3.61537274849188,11.7931150671084
"17","361","Verden",-0.606647294063861,0.0104739487275312,-0.932795069602701,-0.19130303437242,-1.28815386701881,-1.17935299476052,-0.829430204506357,-0.968842451393598,-5.98605096699074,11.7138882787905
"18","458","Oldenburg",-1.20392551794913,0.288985767164154,-1.45016291839631,0.700155039403473,-1.02645217845969,0.988001018789445,-1.03507405686331,-0.240130956756398,-2.97860380306776,11.5452110464579
"19","355","Lüneburg",-0.367736004509753,-1.16784528311972,1.06769394573259,0.148928005618971,0.601005197267382,-0.652158775248369,-0.572375389060172,-0.671035699019034,-1.6135240023381,11.4798010167824
"20","455","Friesland",-0.438004030849197,0.460377655432844,0.239905387662816,0.309812450886218,0.50286706405771,1.92523518681105,-0.212498647435513,0.390420770338347,3.17811583690428,11.1664924017095
"21","452","Aurich",0.559801943170899,0.760313459903053,0.722782046536852,0.705429939248301,0.674608797174637,1.22230956079485,0.0959671310999086,1.33208904879646,6.07330192672496,11.0555991345045
"22","357","Rotenburg (Wümme)",-0.894746202055579,0.631769543701535,-0.863812689763555,0.410035547937946,-0.650256001155941,-0.242118826738916,-0.623786352149409,0.112578716446995,-2.12033626377692,11.0174626783452
"23","159","Göttingen",-0.163958728125368,-1.6605969618922,1.06769394573259,-0.383836878708634,0.601005197267382,-1.06219872375782,-0.520964425970935,-0.0454751465450919,-2.16833172200008,10.9744052482045
"24","454","Emsland",-1.70282850495918,0.481801641466431,-0.0360241316937781,0.117278606550004,-0.175921690642524,0.870846747786744,-0.880841167595594,1.0309548466747,-0.294733652413196,10.8146188928302
"25","155","Northeim",-0.00234226754464798,0.54607359956719,-0.587883170406961,0.12782840623966,-0.380376134829342,-0.945044452755121,0.0959671310999086,0.313889426152706,-0.831887462476608,10.5226763675721
"26","405","Wilhelmshaven, Stadt",3.01215606241747,0.396105697332086,1.99895607356109,-0.207127733906904,2.22846257299445,-1.17935299476052,3.38626876881108,0.691554972460113,10.3270234189089,10.4827297028146
"27","359","Stade",-0.121797912321701,0.0318979347611175,-0.794830309924406,-0.0699803379413817,-0.805641378737922,-0.71073591074972,-0.623786352149409,-1.35815407181621,-4.45302833887963,10.4018584653791
"28","404","Osnabrück, Stadt",0.86898125906445,-2.21762059876545,0.895237996134722,-0.249326932665526,0.494688886290237,-0.76931304625107,0.25020002036762,-0.0770859191435088,-0.804238334968525,10.3422682419361
"29","401","Delmenhorst, Stadt",2.3024489963891,0.888857376104572,1.7230265542045,1.14588407629142,1.64781195150389,2.27669799981916,2.46087143320481,0.793042189749769,13.2386405772672,10.3197843165078
"30","254","Hildesheim",0.28575664044707,-0.396581785910609,0.205414197743241,-0.0647054380965539,0.298412619870892,0.226498257271889,0.147378094189146,-0.346609348666856,0.355563236848219,10.1214574898785
"31","154","Helmstedt",0.630069969510343,0.117593878895463,-1.03626863936142,0.354649099567254,-1.08369942283199,0.577961070279991,0.301610983456857,-0.612805328443003,-0.750888388926514,9.81247274313127
"32","451","Ammerland",-0.943933820493189,0.224713809063395,-0.48440960064824,0.212226803756904,-0.543939690178796,-0.300695962240266,-1.13789598304178,0.278951203807086,-2.69498323997488,9.72628609870559
"33","356","Osterholz",-1.23905953111885,-0.118069967473987,-0.760339120004831,0.742354238162095,-0.740215956598141,-1.41366153676593,-1.03507405686331,-1.03871889608484,-5.60278482674778,9.72547632730648
"34","252","Hameln-Pyrmont",0.531694732635122,0.288985767164154,-0.311953651050369,-0.362737279329323,-0.143208979572634,-0.593581639747019,1.17559735597389,-0.0987143425003209,0.486081963573497,9.44057830285375
"35","101","Braunschweig, Stadt",-0.0304494780804252,-3.56733171888139,-0.346444840969944,-1.40452999868281,-0.478514268039014,0.167921121770538,-0.469553462881698,-1.68424414704199,-7.81314679280673,9.27333352148793
"36","256","Nienburg (Weser)",-0.262333965000588,0.824585418003813,-0.65686555024611,0.225414053368974,0.257521731033529,-0.00781028473351358,0.198789057278383,0.513536410984815,1.0928368706893,8.23248538733844
"37","353","Harburg",-1.02122864946658,-0.460853744011368,-1.03626863936142,0.410035547937946,-2.62937502088433,-1.29650726576322,-1.34353983539873,-2.49281443561203,-9.87055204255975,7.1567446354235
"38","102","Salzgitter, Stadt",2.49217266750559,0.78173744593664,0.377870147341111,-2.25642632362249,1.32068484080498,1.2808866962962,1.38124120833083,0.345500198751123,5.72366688134398,6.69548915330757
"39","456","Grafschaft Bentheim",-1.25311313638674,0.738889473869467,0.205414197743241,0.686967789791404,0.829994174756618,-0.0663874202348639,-0.932252130684832,1.12578716446995,1.33530011332425,5.88845788648525
"40","460","Vechta",-0.957987425761078,0.524649613533604,-2.0020219571095,0.196402104222421,-0.92013586748254,1.6323495093043,-1.24071790922025,0.187446335759036,-2.58001559675401,5.69232958588302
"41","158","Wolfenbüttel",-0.318548386072143,-0.760789548481577,-0.0360241316937781,0.330912050265529,-0.462157912504069,-0.300695962240266,-0.726608278327884,-1.1585070869841,-3.43241925603829,4.98185773474929
"42","255","Holzminden",0.377105074688346,0.503225627500017,0.515834907019407,-0.222952433441387,0.159383597823856,-0.476427368744318,0.867131577438464,0.754776517656947,2.47807749994133,4.21679973012482
"43","453","Cloppenburg",-0.712049333573026,1.06024926437326,-0.346444840969944,0.77927853707589,0.486510708522764,0.109343986269188,-0.675197315238647,1.79127711391032,2.4929681203698,4.16852761649546
"44","462","Wittmund",0.103059771964517,1.14594520850761,0.550326096938982,0.932250632575895,0.224809019963638,-0.124964555736215,-0.00685479507856509,1.62823207629743,4.45280345543329,1.7627046940826
"45","402","Emden, Stadt",1.53652750928916,0.0747459068282904,1.24014989533046,-1.03528700954486,1.94222635113291,1.57377237380295,1.68970698686626,0.816334337980181,7.83817635168534,0
