Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Beschäftigtenquote;Haushaltseinkommen;Bruttoverdienst ;Quote Beschäftigte ohne Berufsabschluss;Quote Beschäftigte mit Berufsabschluss;Schuldnerquote;Schulabgänger mit Hochschulreife;Schulabgänger ohne Abschluss;Einkommensteuer;Ärzte je  Einwohner;Männliche Langzeitarbeitslose
;;;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"5,8";"59,6";"1.871";"3.021";"6,4";"31,3";"9,6";"45,3";"6,3";"501,8";"19,9";"35,4"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"10,5";"57,5";"1.651";"3.344";"8,3";"38,2";"13,2";"24,6";"8,2";"379,8";"16,9";"36,1"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"4,9";"64,4";"2.064";"4.367";"5,7";"38,9";"7,7";"40,6";"4,2";"526,0";"16,9";"31,6"
"03151";"Gifhorn";"Landkreis";"4,7";"61,2";"1.993";"2.408";"6,1";"40,9";"8,8";"28,1";"5,3";"477,7";"9,7";"34,8"
"03153";"Goslar";"Landkreis";"7,1";"55,5";"1.756";"2.399";"6,2";"38,8";"12,5";"26,9";"5,2";"366,3";"14,7";"34,4"
"03154";"Helmstedt";"Landkreis";"6,9";"61,6";"1.945";"2.354";"5,6";"43,3";"11,1";"33,7";"7,0";"437,4";"11,8";"40,4"
"03155";"Northeim";"Landkreis";"5,8";"60,3";"1.859";"2.440";"7,2";"43,4";"10,7";"36,7";"4,4";"381,7";"14,1";"37,4"
"03157";"Peine";"Landkreis";"5,3";"60,4";"1.815";"2.370";"7,1";"42,1";"10,3";"33,7";"3,7";"439,7";"11,8";"27,2"
"03158";"Wolfenbüttel";"Landkreis";"5,5";"58,7";"1.869";"2.363";"6,0";"38,8";"9,1";"33,8";"5,5";"470,2";"11,4";"35,9"
"03159";"Göttingen";"Landkreis";"5,9";"55,5";"1.739";"2.634";"6,5";"35,0";"9,5";"43,7";"4,2";"403,3";"17,4";"39,7"
"03241";"Region Hannover";"Landkreis";"7,1";"57,9";"1.798";"2.928";"7,0";"34,4";"11,5";"40,3";"5,3";"470,3";"16,3";"40,5"
"03251";"Diepholz";"Landkreis";"4,2";"62,1";"1.963";"2.299";"6,9";"42,6";"9,4";"31,5";"4,1";"433,1";"10,3";"27,7"
"03252";"Hameln-Pyrmont";"Landkreis";"6,8";"59,5";"1.830";"2.626";"6,8";"41,0";"12,8";"30,3";"5,0";"406,5";"14,7";"38,4"
"03254";"Hildesheim";"Landkreis";"6,4";"58,0";"1.776";"2.513";"6,6";"39,6";"10,8";"34,4";"6,4";"421,4";"14,7";"38,2"
"03255";"Holzminden";"Landkreis";"6,7";"57,1";"1.793";"2.573";"7,8";"40,6";"12,2";"23,8";"5,2";"355,2";"12,4";"37,4"
"03256";"Nienburg (Weser)";"Landkreis";"5,3";"60,5";"1.781";"2.403";"8,3";"41,8";"10,9";"27,6";"6,0";"369,7";"10,7";"31,1"
"03257";"Schaumburg";"Landkreis";"6,0";"57,6";"1.820";"2.365";"6,3";"40,9";"11,7";"39,0";"4,8";"410,0";"12,2";"32,2"
"03351";"Celle";"Landkreis";"7,1";"57,3";"1.739";"2.543";"6,6";"40,1";"11,9";"24,6";"7,7";"403,4";"14,0";"37,1"
"03352";"Cuxhaven";"Landkreis";"5,5";"57,9";"1.843";"2.183";"7,0";"40,1";"10,8";"24,6";"7,2";"398,2";"10,9";"39,9"
"03353";"Harburg";"Landkreis";"4,1";"61,6";"2.134";"2.333";"6,2";"40,5";"7,9";"37,6";"3,8";"550,4";"10,9";"30,1"
"03354";"Lüchow-Dannenberg";"Landkreis";"8,1";"53,8";"1.763";"2.191";"5,2";"37,6";"11,7";"24,1";"8,4";"308,0";"13,6";"44,2"
"03355";"Lüneburg";"Landkreis";"5,6";"55,5";"1.739";"2.432";"6,2";"35,4";"9,4";"37,4";"4,9";"440,9";"14,7";"30,3"
"03356";"Osterholz";"Landkreis";"3,8";"60,8";"1.903";"2.207";"6,4";"40,8";"8,5";"34,2";"3,6";"463,0";"11,4";"22,6"
"03357";"Rotenburg (Wümme)";"Landkreis";"4,3";"61,1";"1.892";"2.333";"7,6";"42,9";"9,3";"29,9";"5,6";"393,8";"12,0";"34,5"
"03358";"Heidekreis";"Landkreis";"6,1";"58,8";"1.759";"2.402";"7,5";"41,9";"10,9";"31,7";"6,3";"375,9";"11,9";"38,9"
"03359";"Stade";"Landkreis";"5,6";"60,9";"1.911";"2.515";"7,4";"40,8";"9,3";"28,7";"4,8";"482,2";"12,5";"36,6"
"03360";"Uelzen";"Landkreis";"5,8";"56,9";"1.776";"2.276";"6,2";"39,9";"11,8";"30,7";"5,9";"351,6";"14,3";"35,1"
"03361";"Verden";"Landkreis";"4,8";"61,3";"1.970";"2.561";"7,7";"41,2";"8,9";"33,4";"4,0";"458,8";"12,7";"34,2"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"10,2";"53,6";"1.611";"2.054";"7,4";"34,9";"15,3";"26,9";"9,9";"352,9";"14,1";"38,1"
"03402";"Emden, Stadt";"krsfr. Stadt";"8,7";"55,0";"1.575";"2.881";"6,9";"35,8";"13,8";"32,0";"8,7";"351,5";"16,2";"37,3"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"7,3";"54,2";"1.653";"2.656";"6,4";"30,3";"10,5";"46,6";"5,4";"454,3";"21,0";"37,3"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"7,5";"56,0";"1.752";"2.583";"7,7";"30,7";"11,0";"43,7";"4,7";"405,2";"22,8";"36,6"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"11,3";"52,8";"1.540";"2.567";"7,2";"34,7";"17,1";"34,3";"4,0";"359,0";"19,7";"40,8"
"03451";"Ammerland";"Landkreis";"4,3";"60,0";"1.879";"2.408";"6,3";"40,4";"8,3";"26,1";"5,5";"383,8";"12,5";"24,5"
"03452";"Aurich";"Landkreis";"6,9";"56,5";"1.730";"2.221";"6,4";"39,2";"10,7";"26,8";"8,1";"320,5";"12,8";"35,6"
"03453";"Cloppenburg";"Landkreis";"4,8";"59,6";"1.753";"2.193";"9,5";"37,7";"9,2";"19,7";"6,2";"292,9";"9,9";"31,2"
"03454";"Emsland";"Landkreis";"3,0";"58,7";"1.834";"2.444";"6,6";"40,6";"8,8";"26,3";"7,5";"338,6";"12,0";"17,9"
"03455";"Friesland";"Landkreis";"5,3";"57,9";"1.751";"2.371";"6,0";"40,5";"10,1";"23,5";"9,3";"377,1";"13,7";"28,7"
"03456";"Grafschaft Bentheim";"Landkreis";"3,7";"58,0";"1.711";"2.228";"6,6";"41,7";"8,7";"26,0";"5,9";"332,9";"12,1";"31,8"
"03457";"Leer";"Landkreis";"6,0";"54,4";"1.636";"2.138";"6,3";"38,7";"10,6";"18,9";"9,2";"293,7";"13,1";"29,7"
"03458";"Oldenburg";"Landkreis";"3,7";"62,8";"1.938";"2.223";"7,0";"40,9";"8,5";"13,7";"7,7";"415,0";"10,9";"26,2"
"03459";"Osnabrück";"Landkreis";"3,4";"63,5";"1.932";"2.343";"7,8";"43,1";"8,4";"24,0";"6,8";"385,5";"12,1";"31,2"
"03460";"Vechta";"Landkreis";"3,9";"64,4";"1.925";"2.414";"9,6";"40,7";"8,1";"27,5";"8,8";"389,3";"12,7";"22,7"
"03461";"Wesermarsch";"Landkreis";"6,8";"59,1";"1.805";"2.739";"7,4";"42,0";"11,3";"26,8";"4,1";"394,3";"11,7";"40,5"
"03462";"Wittmund";"Landkreis";"6,3";"57,0";"1.785";"2.135";"6,7";"39,6";"10,5";"31,7";"5,8";"302,7";"10,6";"26,7"
